task_identifier,task_description,golden_steps,app_package,app_name,trajectory_id,original_goal,task_reasonable,task_completed,task_id,difficulty_level,core_functionality,variation_type,prerequisites
260114164909.279225_43F157AB103113BF-001,"In the Contacts app, create a new contact for 'Daniel Green Jr.' with the phone number '555-0199' labeled as 'Mobile' and the email 'd.green.jr@email.com'.",15,com.google.android.contacts,Contacts,260114164909.279225_43F157AB103113BF,"Dismiss the notification request, then find the contact ""Alice Johnson"" and share her details as a vCard file.",TRUE,TRUE,task_1,,contact_creation,step_progression,The user must be on the main screen of the Contacts app.
260114164909.279225_43F157AB103113BF-002,"In the Contacts app, find the contact 'Frank Miller' and block his number. Then, create a new contact for 'Eva Clark' with phone number '145-654-8510' and label 'Home'.",20,com.google.android.contacts,Contacts,260114164909.279225_43F157AB103113BF,"Dismiss the notification request, then find the contact ""Alice Johnson"" and share her details as a vCard file.",TRUE,TRUE,task_2,,contact_management,scenario_application,The contacts 'Frank Miller' and 'Eva Adams' must exist.
260114164909.279225_43F157AB103113BF-003,"In the Contacts app, create a new contact with First Name: 'Test', Last Name: 'User', Phone: '999-999-9999'. After saving, edit this new contact to add a second phone number '888-888-8888' with the label 'Work'. After saving the edit, delete the 'Test User' contact.",25,com.google.android.contacts,Contacts,260114164909.279225_43F157AB103113BF,"Dismiss the notification request, then find the contact ""Alice Johnson"" and share her details as a vCard file.",TRUE,TRUE,task_3,,contact_lifecycle_management,step_progression,The user must be on the main screen of the Contacts app.
260114164909.279225_43F157AB103113BF-004,"Using the Contacts app, find and delete the contact 'Bob Smith'. Then, find and delete the contact 'Brian Wright'. Finally, create a new contact for 'New Employee' with phone '100-200-3000'.",22,com.google.android.contacts,Contacts,260114164909.279225_43F157AB103113BF,"Dismiss the notification request, then find the contact ""Alice Johnson"" and share her details as a vCard file.",TRUE,TRUE,task_4,,batch_operations,scenario_application,The contacts 'Bob Smith' and 'Brian Wright' must exist.
260114164909.279225_43F157AB103113BF-005,"In the Contacts app, find the contact 'Amy King', add her to your favorites, and then edit her details to add a 'Note' with the text 'Project Lead'.",18,com.google.android.contacts,Contacts,260114164909.279225_43F157AB103113BF,"Dismiss the notification request, then find the contact ""Alice Johnson"" and share her details as a vCard file.",TRUE,TRUE,task_5,,contact_editing,step_progression,The contact 'Amy King' must exist.
260114164909.279225_43F157AB103113BF-006,"Using the Contacts app, find the contact 'Carol Williams', route her calls directly to voicemail, and then add her contact to your Home screen.",12,com.google.android.contacts,Contacts,260114164909.279225_43F157AB103113BF,"Dismiss the notification request, then find the contact ""Alice Johnson"" and share her details as a vCard file.",TRUE,TRUE,task_6,,contact_settings,scenario_application,The contact 'Carol Williams' must exist.
260114165054.645526_7A06D2E1EC5398F6-001,"Using the Contacts app, navigate to the 'Fix & manage' section and merge the duplicate 'Alice Johnson' contacts. Afterwards, find the merged 'Alice Johnson' contact and edit it to add a 'Note' with the text 'Key Account'.",15,com.google.android.contacts,Contacts,260114165054.645526_7A06D2E1EC5398F6,"Dismiss the current share dialog, then mark Alice Johnson as a favorite contact and verify that she appears in the ""Favorites"" list.",TRUE,TRUE,task_1,,"Contact merging, contact editing, navigation",multi_step_workflow,"The contact list must contain duplicate entries for 'Alice Johnson', as shown in the trajectory screenshots."
260114165054.645526_7A06D2E1EC5398F6-002,"In the Contacts app, create a new label named 'Work Colleagues'. Then, find and add both 'Daniel Green' and 'David Brown' to this new label.",22,com.google.android.contacts,Contacts,260114165054.645526_7A06D2E1EC5398F6,"Dismiss the current share dialog, then mark Alice Johnson as a favorite contact and verify that she appears in the ""Favorites"" list.",TRUE,TRUE,task_2,,"Label creation, batch contact categorization, contact editing",multi_step_workflow,The contacts 'Daniel Green' and 'David Brown' must exist in the contact list.
260114165054.645526_7A06D2E1EC5398F6-003,"In the Contacts app, find the contact 'Bob Smith' and block all his numbers. Then, find the contact 'Carol Williams' and set her calls to be routed directly to voicemail.",14,com.google.android.contacts,Contacts,260114165054.645526_7A06D2E1EC5398F6,"Dismiss the current share dialog, then mark Alice Johnson as a favorite contact and verify that she appears in the ""Favorites"" list.",TRUE,TRUE,task_3,,"Contact blocking, call routing settings",scenario_application,The contacts 'Bob Smith' and 'Carol Williams' must exist in the contact list.
260114165054.645526_7A06D2E1EC5398F6-004,"In the Contacts app, first un-favorite the contact 'Alice Johnson'. Then, find the contact 'Emily Davis', add her to your favorites, and finally, set a custom ringtone for her.",16,com.google.android.contacts,Contacts,260114165054.645526_7A06D2E1EC5398F6,"Dismiss the current share dialog, then mark Alice Johnson as a favorite contact and verify that she appears in the ""Favorites"" list.",TRUE,TRUE,task_4,,"Managing favorites, setting contact-specific ringtones",multi_step_workflow,"The contact 'Alice Johnson' must be marked as a favorite, and 'Emily Davis' must exist."
